recipe_id,cuisine,meal_mode,recipe_name,portions,calories,proteinContent,fatContent,carbohydrateContent,ingr_name,ingr_qwn,measure,quantity,text
1,Русская кухня,Выпечка и десерты,Классическая шарлотка,12,217,5,5,38,Разрыхлитель,½ чайные ложки,,,"Разогреть духовку. Отделить белки от желтков. Белки взбить в крепкую пену с щепоткой соли, постепенно добавляя сахар. Продолжать взбивать, добавляя по одному желтки, затем разрыхлитель и муку. Тесто по консистенции должно напоминать сметану. Смазать противень растительным маслом. Вылить половину теста на противень, разложить равномерно нарезанные дольками яблоки, залить второй половиной теста. Поместить противень в разогретую духовку. 3 минуты подержать при температуре 200 градусов, затем убавить до 180 и выпекать 20–25 минут."
2,Европейская кухня,Основные блюда,Свинина с карамелизованной морковью,4,551,39,32,28,Свинина,750 г,,,"Свинину зачистить и обсушить. Зубчики чеснока разрезать пополам и нашпиговать ими мясо. Смешать паприку, розмарин, кориандр, хлопья чили, чеснок, соль, молотый черный перец и оливковое масло. Обмазать смесью свинину. Обернуть мясо пленкой и оставить мариноваться на час. Свинину избавить от пленки, завернуть в фольгу и отправить в духовку на 1,5 часа при 180 градусах. Помыть и по необходимости очистить морковь, если морковь крупная, нарезать ее на половинки или четвертинки вдоль. Натереть 30 грамм размягченного сливочного масла солью и черным молотым перцем. Выпекать морковь на пергаменте 10 минут при 180 градусах. Растопить на сковородке оставшееся сливочное масло и мед. Обжарить морковь на сильном огне до румяности. Готовую свинину нарезать. Подавать свинину и морковь, посыпать рубленым зеленым луком и кунжутом."
2,Европейская кухня,Основные блюда,Свинина с карамелизованной морковью,4,551,39,32,28,Молотая паприка,½ чайные ложки,,,"Свинину зачистить и обсушить. Зубчики чеснока разрезать пополам и нашпиговать ими мясо. Смешать паприку, розмарин, кориандр, хлопья чили, чеснок, соль, молотый черный перец и оливковое масло. Обмазать смесью свинину. Обернуть мясо пленкой и оставить мариноваться на час. Свинину избавить от пленки, завернуть в фольгу и отправить в духовку на 1,5 часа при 180 градусах. Помыть и по необходимости очистить морковь, если морковь крупная, нарезать ее на половинки или четвертинки вдоль. Натереть 30 грамм размягченного сливочного масла солью и черным молотым перцем. Выпекать морковь на пергаменте 10 минут при 180 градусах. Растопить на сковородке оставшееся сливочное масло и мед. Обжарить морковь на сильном огне до румяности. Готовую свинину нарезать. Подавать свинину и морковь, посыпать рубленым зеленым луком и кунжутом."
2,Европейская кухня,Основные блюда,Свинина с карамелизованной морковью,4,551,39,32,28,Сушеный розмарин,¼ чайные ложки,,,"Свинину зачистить и обсушить. Зубчики чеснока разрезать пополам и нашпиговать ими мясо. Смешать паприку, розмарин, кориандр, хлопья чили, чеснок, соль, молотый черный перец и оливковое масло. Обмазать смесью свинину. Обернуть мясо пленкой и оставить мариноваться на час. Свинину избавить от пленки, завернуть в фольгу и отправить в духовку на 1,5 часа при 180 градусах. Помыть и по необходимости очистить морковь, если морковь крупная, нарезать ее на половинки или четвертинки вдоль. Натереть 30 грамм размягченного сливочного масла солью и черным молотым перцем. Выпекать морковь на пергаменте 10 минут при 180 градусах. Растопить на сковородке оставшееся сливочное масло и мед. Обжарить морковь на сильном огне до румяности. Готовую свинину нарезать. Подавать свинину и морковь, посыпать рубленым зеленым луком и кунжутом."
2,Европейская кухня,Основные блюда,Свинина с карамелизованной морковью,4,551,39,32,28,Молотый кориандр ,¼ чайные ложки,,,"Свинину зачистить и обсушить. Зубчики чеснока разрезать пополам и нашпиговать ими мясо. Смешать паприку, розмарин, кориандр, хлопья чили, чеснок, соль, молотый черный перец и оливковое масло. Обмазать смесью свинину. Обернуть мясо пленкой и оставить мариноваться на час. Свинину избавить от пленки, завернуть в фольгу и отправить в духовку на 1,5 часа при 180 градусах. Помыть и по необходимости очистить морковь, если морковь крупная, нарезать ее на половинки или четвертинки вдоль. Натереть 30 грамм размягченного сливочного масла солью и черным молотым перцем. Выпекать морковь на пергаменте 10 минут при 180 градусах. Растопить на сковородке оставшееся сливочное масло и мед. Обжарить морковь на сильном огне до румяности. Готовую свинину нарезать. Подавать свинину и морковь, посыпать рубленым зеленым луком и кунжутом."
2,Европейская кухня,Основные блюда,Свинина с карамелизованной морковью,4,551,39,32,28,Перец чили хлопьями,½ чайные ложки,,,"Свинину зачистить и обсушить. Зубчики чеснока разрезать пополам и нашпиговать ими мясо. Смешать паприку, розмарин, кориандр, хлопья чили, чеснок, соль, молотый черный перец и оливковое масло. Обмазать смесью свинину. Обернуть мясо пленкой и оставить мариноваться на час. Свинину избавить от пленки, завернуть в фольгу и отправить в духовку на 1,5 часа при 180 градусах. Помыть и по необходимости очистить морковь, если морковь крупная, нарезать ее на половинки или четвертинки вдоль. Натереть 30 грамм размягченного сливочного масла солью и черным молотым перцем. Выпекать морковь на пергаменте 10 минут при 180 градусах. Растопить на сковородке оставшееся сливочное масло и мед. Обжарить морковь на сильном огне до румяности. Готовую свинину нарезать. Подавать свинину и морковь, посыпать рубленым зеленым луком и кунжутом."
2,Европейская кухня,Основные блюда,Свинина с карамелизованной морковью,4,551,39,32,28,Оливковое масло,1 столовая ложка,,,"Свинину зачистить и обсушить. Зубчики чеснока разрезать пополам и нашпиговать ими мясо. Смешать паприку, розмарин, кориандр, хлопья чили, чеснок, соль, молотый черный перец и оливковое масло. Обмазать смесью свинину. Обернуть мясо пленкой и оставить мариноваться на час. Свинину избавить от пленки, завернуть в фольгу и отправить в духовку на 1,5 часа при 180 градусах. Помыть и по необходимости очистить морковь, если морковь крупная, нарезать ее на половинки или четвертинки вдоль. Натереть 30 грамм размягченного сливочного масла солью и черным молотым перцем. Выпекать морковь на пергаменте 10 минут при 180 градусах. Растопить на сковородке оставшееся сливочное масло и мед. Обжарить морковь на сильном огне до румяности. Готовую свинину нарезать. Подавать свинину и морковь, посыпать рубленым зеленым луком и кунжутом."
2,Европейская кухня,Основные блюда,Свинина с карамелизованной морковью,4,551,39,32,28,Морковь,500 г,,,"Свинину зачистить и обсушить. Зубчики чеснока разрезать пополам и нашпиговать ими мясо. Смешать паприку, розмарин, кориандр, хлопья чили, чеснок, соль, молотый черный перец и оливковое масло. Обмазать смесью свинину. Обернуть мясо пленкой и оставить мариноваться на час. Свинину избавить от пленки, завернуть в фольгу и отправить в духовку на 1,5 часа при 180 градусах. Помыть и по необходимости очистить морковь, если морковь крупная, нарезать ее на половинки или четвертинки вдоль. Натереть 30 грамм размягченного сливочного масла солью и черным молотым перцем. Выпекать морковь на пергаменте 10 минут при 180 градусах. Растопить на сковородке оставшееся сливочное масло и мед. Обжарить морковь на сильном огне до румяности. Готовую свинину нарезать. Подавать свинину и морковь, посыпать рубленым зеленым луком и кунжутом."
2,Европейская кухня,Основные блюда,Свинина с карамелизованной морковью,4,551,39,32,28,Сливочное масло,60 г,,,"Свинину зачистить и обсушить. Зубчики чеснока разрезать пополам и нашпиговать ими мясо. Смешать паприку, розмарин, кориандр, хлопья чили, чеснок, соль, молотый черный перец и оливковое масло. Обмазать смесью свинину. Обернуть мясо пленкой и оставить мариноваться на час. Свинину избавить от пленки, завернуть в фольгу и отправить в духовку на 1,5 часа при 180 градусах. Помыть и по необходимости очистить морковь, если морковь крупная, нарезать ее на половинки или четвертинки вдоль. Натереть 30 грамм размягченного сливочного масла солью и черным молотым перцем. Выпекать морковь на пергаменте 10 минут при 180 градусах. Растопить на сковородке оставшееся сливочное масло и мед. Обжарить морковь на сильном огне до румяности. Готовую свинину нарезать. Подавать свинину и морковь, посыпать рубленым зеленым луком и кунжутом."
2,Европейская кухня,Основные блюда,Свинина с карамелизованной морковью,4,551,39,32,28,Мед,80 г,,,"Свинину зачистить и обсушить. Зубчики чеснока разрезать пополам и нашпиговать ими мясо. Смешать паприку, розмарин, кориандр, хлопья чили, чеснок, соль, молотый черный перец и оливковое масло. Обмазать смесью свинину. Обернуть мясо пленкой и оставить мариноваться на час. Свинину избавить от пленки, завернуть в фольгу и отправить в духовку на 1,5 часа при 180 градусах. Помыть и по необходимости очистить морковь, если морковь крупная, нарезать ее на половинки или четвертинки вдоль. Натереть 30 грамм размягченного сливочного масла солью и черным молотым перцем. Выпекать морковь на пергаменте 10 минут при 180 градусах. Растопить на сковородке оставшееся сливочное масло и мед. Обжарить морковь на сильном огне до румяности. Готовую свинину нарезать. Подавать свинину и морковь, посыпать рубленым зеленым луком и кунжутом."
2,Европейская кухня,Основные блюда,Свинина с карамелизованной морковью,4,551,39,32,28,Чеснок,2 зубчика,,,"Свинину зачистить и обсушить. Зубчики чеснока разрезать пополам и нашпиговать ими мясо. Смешать паприку, розмарин, кориандр, хлопья чили, чеснок, соль, молотый черный перец и оливковое масло. Обмазать смесью свинину. Обернуть мясо пленкой и оставить мариноваться на час. Свинину избавить от пленки, завернуть в фольгу и отправить в духовку на 1,5 часа при 180 градусах. Помыть и по необходимости очистить морковь, если морковь крупная, нарезать ее на половинки или четвертинки вдоль. Натереть 30 грамм размягченного сливочного масла солью и черным молотым перцем. Выпекать морковь на пергаменте 10 минут при 180 градусах. Растопить на сковородке оставшееся сливочное масло и мед. Обжарить морковь на сильном огне до румяности. Готовую свинину нарезать. Подавать свинину и морковь, посыпать рубленым зеленым луком и кунжутом."
2,Европейская кухня,Основные блюда,Свинина с карамелизованной морковью,4,551,39,32,28,Кунжут,10 г,,,"Свинину зачистить и обсушить. Зубчики чеснока разрезать пополам и нашпиговать ими мясо. Смешать паприку, розмарин, кориандр, хлопья чили, чеснок, соль, молотый черный перец и оливковое масло. Обмазать смесью свинину. Обернуть мясо пленкой и оставить мариноваться на час. Свинину избавить от пленки, завернуть в фольгу и отправить в духовку на 1,5 часа при 180 градусах. Помыть и по необходимости очистить морковь, если морковь крупная, нарезать ее на половинки или четвертинки вдоль. Натереть 30 грамм размягченного сливочного масла солью и черным молотым перцем. Выпекать морковь на пергаменте 10 минут при 180 градусах. Растопить на сковородке оставшееся сливочное масло и мед. Обжарить морковь на сильном огне до румяности. Готовую свинину нарезать. Подавать свинину и морковь, посыпать рубленым зеленым луком и кунжутом."
2,Европейская кухня,Основные блюда,Свинина с карамелизованной морковью,4,551,39,32,28,Лимон,½ штуки,,,"Свинину зачистить и обсушить. Зубчики чеснока разрезать пополам и нашпиговать ими мясо. Смешать паприку, розмарин, кориандр, хлопья чили, чеснок, соль, молотый черный перец и оливковое масло. Обмазать смесью свинину. Обернуть мясо пленкой и оставить мариноваться на час. Свинину избавить от пленки, завернуть в фольгу и отправить в духовку на 1,5 часа при 180 градусах. Помыть и по необходимости очистить морковь, если морковь крупная, нарезать ее на половинки или четвертинки вдоль. Натереть 30 грамм размягченного сливочного масла солью и черным молотым перцем. Выпекать морковь на пергаменте 10 минут при 180 градусах. Растопить на сковородке оставшееся сливочное масло и мед. Обжарить морковь на сильном огне до румяности. Готовую свинину нарезать. Подавать свинину и морковь, посыпать рубленым зеленым луком и кунжутом."
2,Европейская кухня,Основные блюда,Свинина с карамелизованной морковью,4,551,39,32,28,Зеленый лук,по вкусу,,,"Свинину зачистить и обсушить. Зубчики чеснока разрезать пополам и нашпиговать ими мясо. Смешать паприку, розмарин, кориандр, хлопья чили, чеснок, соль, молотый черный перец и оливковое масло. Обмазать смесью свинину. Обернуть мясо пленкой и оставить мариноваться на час. Свинину избавить от пленки, завернуть в фольгу и отправить в духовку на 1,5 часа при 180 градусах. Помыть и по необходимости очистить морковь, если морковь крупная, нарезать ее на половинки или четвертинки вдоль. Натереть 30 грамм размягченного сливочного масла солью и черным молотым перцем. Выпекать морковь на пергаменте 10 минут при 180 градусах. Растопить на сковородке оставшееся сливочное масло и мед. Обжарить морковь на сильном огне до румяности. Готовую свинину нарезать. Подавать свинину и морковь, посыпать рубленым зеленым луком и кунжутом."
2,Европейская кухня,Основные блюда,Свинина с карамелизованной морковью,4,551,39,32,28,Соль,по вкусу,,,"Свинину зачистить и обсушить. Зубчики чеснока разрезать пополам и нашпиговать ими мясо. Смешать паприку, розмарин, кориандр, хлопья чили, чеснок, соль, молотый черный перец и оливковое масло. Обмазать смесью свинину. Обернуть мясо пленкой и оставить мариноваться на час. Свинину избавить от пленки, завернуть в фольгу и отправить в духовку на 1,5 часа при 180 градусах. Помыть и по необходимости очистить морковь, если морковь крупная, нарезать ее на половинки или четвертинки вдоль. Натереть 30 грамм размягченного сливочного масла солью и черным молотым перцем. Выпекать морковь на пергаменте 10 минут при 180 градусах. Растопить на сковородке оставшееся сливочное масло и мед. Обжарить морковь на сильном огне до румяности. Готовую свинину нарезать. Подавать свинину и морковь, посыпать рубленым зеленым луком и кунжутом."
2,Европейская кухня,Основные блюда,Свинина с карамелизованной морковью,4,551,39,32,28,Молотый черный перец,по вкусу,,,"Свинину зачистить и обсушить. Зубчики чеснока разрезать пополам и нашпиговать ими мясо. Смешать паприку, розмарин, кориандр, хлопья чили, чеснок, соль, молотый черный перец и оливковое масло. Обмазать смесью свинину. Обернуть мясо пленкой и оставить мариноваться на час. Свинину избавить от пленки, завернуть в фольгу и отправить в духовку на 1,5 часа при 180 градусах. Помыть и по необходимости очистить морковь, если морковь крупная, нарезать ее на половинки или четвертинки вдоль. Натереть 30 грамм размягченного сливочного масла солью и черным молотым перцем. Выпекать морковь на пергаменте 10 минут при 180 градусах. Растопить на сковородке оставшееся сливочное масло и мед. Обжарить морковь на сильном огне до румяности. Готовую свинину нарезать. Подавать свинину и морковь, посыпать рубленым зеленым луком и кунжутом."
3,Американская кухня,Выпечка и десерты,Брауни (brownie),6,676,10,46,55,Темный шоколад,100 г,,,"Шоколад разломать на кусочки и вместе со сливочным маслом растопить на водяной бане, не переставая все время помешивать лопаткой или деревянной ложкой. Получившийся густой шоколадный соус снять с водяной бани и оставить остывать. Тем временем смешать яйца со ста граммами коричневого сахара: яйца разбить в отдельную миску и взбить, постепенно добавляя сахар. Взбивать можно при помощи миксера или вручную — как больше нравится, — но не меньше двух с половиной-трех минут. Острым ножом на разделочной доске порубить грецкие орехи. Предварительно их можно поджарить на сухой сковороде до появления аромата, но это необязательная опция. В остывший растопленный со сливочным маслом шоколад аккуратно добавить оставшийся сахар, затем муку и измельченные орехи и все хорошо перемешать венчиком. Затем влить сахарно-яичную смесь и тщательно смешать с шоколадной массой. Цвет у теста должен получиться равномерным, без разводов. Разогреть духовку до 200 градусов. Дно небольшой глубокой огнеупорной формы выстелить листом бумаги для выпечки или калькой. Перелить тесто в форму. Поставить в духовку и выпекать двадцать пять — тридцать минут до появления сахарной корочки. Готовый пирог вытащить из духовки, дать остыть и нарезать на квадратики острым ножом или ножом для пиццы — так кусочки получатся особенно ровными. Подавать брауни можно просто так, а можно посыпать сверху сахарной пудрой или разложить квадратики по тарелкам и украсить каждую порцию шариком ванильного мороженого."
