id_recipe,name_recipe,portions,calories,protein,fat,carbo,text_recipe,vegeterian
10,Лазанья с мясным фаршем и пармезаном,4,742,39,45.0,48.0,"Для фарша мелко нарезанную луковицу обжарьте до золотистого цвета. Мясной фарш добавьте к луку и жарьте все вместе до готовности мяса. Посолите и поперчите по вкусу. Когда фарш будет готов, в него нужно добавить измельченные помидоры без кожицы (это может быть готовое томатное пюре (пассата), измельченные томаты в собственном соку, или свежие помидоры, очищенные от кожицы и мелко нарезанные). Продолжайте готовить на небольшом огне минут 10, чтобы лишняя жидкость испарилась. В конце добавьте зелень. Для соуса бешамель растопите сливочное масло в толстостенной посуде на небольшом огне, добавьте муку, размешайте. В горячую смесь (она называется — ру) понемногу добавьте холодное молоко, тщательно мешая. На это время посуду лучше снять с огня. Когда все молоко будет добавлено, поставьте соус на небольшой огонь и варите, постоянно помешивая, около 5 минут. Когда соус загустеет, снимите с огня. Прямоугольную жаропрочную форму смажьте маслом или выложите дно бумагой или пленкой для выпекания, положите листы лазаньи по размеру дна, сверху распределите немного бешамеля. На бешамель выложите мясной фарш, накройте листом лазаньи и чередуйте слои, пока не достигнете нужной высоты. Последним слоем должен быть бешамель. Посыпьте лазанью тертым пармезаном и запекайте 30 минут в разогретой до 190 градусов духовке. Чтобы пармезан не сгорел, можно прикрыть форму фольгой на первые 20 минут. Готовую лазанью выньте из духовки, дайте постоять минут 10, а затем нарежьте на порции.",False
11,Тонкое тесто для пиццы,4,200,5,6.0,33.0,"Соединить муку, соль и дрожжи в кухонном комбайне. Соединить в кувшине масло и воду. Не выключая комбайн, влить жидкость и замесить однородное тесто. Переложить на стол, посыпанный мукой и месить тесто 2-3 мин. Переложить тесто в миску и смазать снаружи оливковым маслом. Накрыть миску пищевой пленкой и поставить в теплое место на 40 мин, пока тесто не увеличится в 2 раза. Снова месить тесто 1-2 мин. Раскатать тесто в круг 30 см и положить на противень. Сдавить 2 см от края, чтобы получилась корочка и наполнить начинкой на ваш выбор.",False
12,Ризотто с шампиньонами,4,538,14,23.0,62.0,"Лук мелко нарезать и обжаривать в сотейнике на сливочном масле до тех пор, пока лук не начнет пахнуть жареным, добавить мелко нарезанные шампиньоны, обжарить их, пока не выпустят воду. Тогда всыпать в сотейник рис и обжаривать его вместе с луком и грибами две минуты, постоянно помешивая. Залить рис и лук куриным бульоном и вином. Варить без крышки, постоянно помешивая. Когда бульон и вино выпарятся наполовину, добавить крошечную щепотку шафрана, посолить. Помешивая, варить, пока рис не приготовится. Если жидкость выкипит слишком рано, долить воды, вина или бульона.",False
13,"Макароны, запеченные с помидорами, под сыром",2,1183,31,67.0,112.0,"Сварите макароны, положите их на дно емкости для выпекания. Порежьте помидоры тонкими ломтиками и положите их на макароны. Потрите сыр. Посыпьте макароны с помидорами тертым сыром и перцем. Чеснок порежьте крупными ломтиками и уложите сверху на запеканку. Обмажьте поверхность блюда тонким слоем майонеза и запекайте в духовке до готовности (примерно, 10–20 минут). Подавайте в горячем виде, можно украсить зеленью.",False
14,Ризотто со сливками и сладким перцем,4,715,10,31.0,94.0,"Растопить в глубокой сковороде сливочное масло (80 г) и обжарить на нем мелко нарубленный лук. Лук должен стать совершенно мягким и полупрозрачным. Всыпать рис и обжаривать его несколько минут, постоянно помешивая. Добавить мелко нарубленный чеснок, перемешать, потомить вместе с рисом, маслом и луком; как только чеснок практически растворится в массе риса и лука и начнет издавать свой характернейший из запахов, влить в сковороду сухой херес, перемешать с рисом и овощами и, убрав до минимума огонь, выпаривать алкоголь, постоянно помешивая. Как только о присутствии хереса станет напоминать исключительно его аромат, влить в сковороду треть бульона, перемешать содержимое сковороды, чтобы бульон проник во все самые тайные норки, и варить рис на медленном огне, доливая бульон по мере его выкипания. На оставшемся сливочном масле обжарить мелко нарезанные и очищенные от семечек и прочих внутренних излишеств перцы. Перцы должны стать мягкими и начать пахнуть жареным. Всыпать перцы в сковороду с полуготовым ризотто, посолить, поперчить, перемешать, долить бульон и продолжать ту же канитель с варкой — помешивать, доливать бульон. Когда рис будет практически готов, вмешать в него сливки. Выключить огонь и еще примерно минуту помешивать содержимое сковороды, чтобы добиться кремовой консистенции ризотто. Подавать, посыпав листочками тимьяна.",False
15,Омлет с моцареллой и помидорами,1,570,33,48.0,5.0,"Яйца смешать с солью и перцем. В сковороде на сливочном масле немного припустить помидоры и залить яйцами.Секунд через двадцать добавить моцареллу, нарезать листья базилика и снять с огня. На одну минуту оставить сковороду остывать, после чего полить оливковым маслом и подавать.",False
16,Салат с креветками и ананасом,4,288,14,19.0,16.0,"Измельчить все ингредиенты. Креветки очистить. Сыр натереть. Перемешать все ингредиенты. Посолить, заправить оливковым маслом.",False
17,Рождественское ванильное печенье в сахарной глазури,4,668,11,28.0,96.0,"Смешайте муку и соль в небольшой миске. Тщательно взбейте масло и сахар в большой миске при помощи миксера. Взбивать нужно очень хорошо, пока смесь не станет пышной и светлой. Добавьте яйцо и ваниль. Хорошо смешайте. Раскатайте тесто. Разделите на 2 части. Раскатайте скалкой так, чтобы каждый пласт был приблизительно 15 см в диаметре. Заверните тесто в пленку и положите охлаждаться хотя бы на 1 час. Хорошо прогрейте духовку. Достаньте половину теста, раскатайте скалкой в пласт шириной приблизительно 0,5 см. Если тесто слишком мягкое, тогда оберните тесто пленкой и снова положите на холод, чтобы охладить его больше. Теперь можете орудовать формочками для вырезания теста. Выпекайте в духовом шкафу до золотистого цвета 10–12 минут. Охладите печенье на решетке. А теперь проявите свое творчество и покажите, на что вы способны, а глазурь вам в этом поможет.",False
18,Торт без духовки,10,598,9,23.0,90.0,"Растопить масло, добавить кефир, 150 грамм сметаны, 100 грамм сахара, соду и перемешать. Просеять муку, влить к ней масляную смесь и руками замесить крутое тесто. Оставить его на 10–15 минут, затем снова обмять и разделить на семь равных частей. Раскатать коржи толщиной 2 мм и обжарить их по очереди на хорошо разогретой сковороде без масла, на среднем огне. Дать им полностью остыть. Смешать сметану и сахар до полного растворения сахара. Лучше делать это не миксером, а вручную, иначе можно случайно перебить сметану и получить масло. Коржи можно обрезать по бокам, а можно оставить как есть, если они одинаковые. Каждый корж смазать хорошим слоем сметанного крема. Остатками крема покрыть торт по бокам. Украсить торт можно крошками из обрезков коржей или любимым вареньем.",False
19,Сырный соус,10,227,10,17.0,9.0,"Натереть сыры на средней терке. В сотейнике с толстым дном растопить сливочное масло. Всыпать муку и перемешивать соус в течение 5 минут на среднем огне. Постепенно влить молоко, продолжая перемешивать соус. Перемешивать соус на среднем огне, пока он не загустеет. Следить за тем, чтобы соус был однородным и в нем не было сгустков и комочков. Добавить соль и перец по вкусу. Добавить мускатный орех и совсем немного горчичного порошка, буквально щепотку. Снять сотейник с огня, добавить четверть от всего натертого сыра. Перемешивать соус, пока сыр не расплавится. Затем частями также добавить остальной сыр. Перемешивать соус, пока весь сыр не растворится. Готовый соус должен быть гладким, вязким, однородным и глянцевым.",False
20,Суп из бычьих хвостов с полбой и хреном,2,1563,150,43.0,151.0,"Хвосты обжарить на гриле или в духовке до корочки, залить куриным бульоном и томить в печи 12 часов при температуре 85 градусов или варить на плите в течение 4 часов. Полученный бульон процедить, отделить мясо от хвостов, разобрать на волокна. Бульон посолить. Перловую крупу промыть и сварить в полученном бульоне. Все овощи нарезать кубиками со стороной 2 см, обжарить на сковороде до появления золотистой корочки, добавить в бульон. Петрушку, тимьян и чеснок положить в сеточку для специй или марлю, завязать ее. Марлю опустить в бульон, проварить в бульоне, чтобы травы отдали весь аромат, затем удалить. В готовый суп добавить мясо от хвостов. При подаче посыпать натертым хреном и свежей зеленью.",False
21,Таджикский рисовый суп с зеленой чечевицей,4,341,17,8.0,53.0,"Разогреть щедрую порцию оливкового масла в большой кастрюле и потушить на нем лук, сельдерей, морковь и помидоры до мягкости. Добавить чеснок, кумин и душистый перец. Готовить еще минуту, затем всыпать чечевицу и рис, положить лавровый лист. Влить овощной бульон. Довести до кипения, убавить огонь, накрыть крышкой и варить 20–30 минут, до мягкости чечевицы и риса. Тем временем приготовить пасту из зелени. Соединить все ингредиенты в маленьком блендере, добавив по щепотке соли и перца. Измельчить в густое пюре. Слегка развести готовый суп горячей водой и проверить, хватает ли приправ. Разлить по глубоким мискам. Выложить в каждую по ложке пасты из зелени и посыпать раскрошенным сыром.",False
22,Салат «Столичный» с курицей и крабовыми палочками,8,153,14,4.0,15.0,"Куриное филе (можно заменить молочной колбасой), яйца, морковь и картофель отварить и нарезать кубиками. Огурцы и крабовые палочки нарезать кубиками. Все смешать, добавить консервированный горошек, посолить и заправить майонезом. По желанию можно добавить зелень.",False
23,"Пирог с тунцом, луком и помидорами",8,440,20,26.0,33.0,"В миску с мукой порубить масло, посолить, добавить воды и замесить тесто. Должен получиться шарик. На круглую форму постелить пекарскую бумагу, на нее выложить тесто и сформировать бортики. Предварительно выпечь в духовке при 200 градусах минут 7–10. Лук нарезать полукольцами и обжарить до золотистого цвета, выложить на тесто. С тунца слить воду и поломать куски вилкой и равномерно распределить поверх лука. Порубить зелень (укроп, петрушка, базилик, сушеный базилик) и посыпать сверху. Оливки нарезать кольцами и раскидать на зелень. Посыпать тертым сыром. Сверху уложить нарезанные помидоры. Сделать заливку: взбить 2 яйца, добавить сливки, еще раз взбить и осторожно, равномерно вылить заливку на пирог. Поставить в духовку минут на 30 при 200 градусах. Перед подачей на стол остудить.",False
24,Печеный рисовый пудинг,6,221,7,11.0,22.0,"Разогрейте духовку до 160 градусов. Смажьте размягченным сливочным маслом 1,5 литровую форму. Сварите рис в кипящей воде 12 минут до мягкости. Хорошо обсушите. Положите яйца в миску и слегка взбейте. Добавьте сахар, молоко, сливки и ваниль. Хорошо взбейте. Добавьте рис и переложите в форму, посыпав мускатом. Поставьте форму в глубокий противень и залейте наполовину горячей водой. Пеките 45 минут, пока нож, вставляемый в центр, не будет оставаться чистым. Переставьте с противня и оставьте на 5 минут. Подавайте пудинг с фруктами.",False
25,Торт «Банановый панчо»,12,458,7,13.0,81.0,"Для светлого коржа взбить 1 яйцо с 1 стаканом сахара, 1 пакетиком ванильного сахара, добавить 1 стакан сметаны (любой жирности), 1 чайную ложку соды (не гасить) и 1 стакан муки. Испечь бисквит при температуре 180 градусов. Для темного коржа взбить 1 яйцо с 1 стаканом сахара, добавить 1 стакан сметаны, 1 чайную ложку соды, корицу, какао и 1 стакан муки. Испечь бисквит при температуре 180 градусов. Для крема смешать 2 стакана сметаны, 1 стакан сахара и 1 пакетик ванильного сахара. Сборка. Со светлого коржа срезать верхушку и нарезать ее небольшими кубиками; низ светлого коржа смазать кремом и дать пропитаться 10 минут; темный корж весь нарезать кубиками. В большой миске смешать крем, нарезанный кубиками бисквит и нарезанные кружочками бананы; руками выложить кремово-бананово-бисквитную смесь на светлый корж (можно немного спрессовать) и отправить в холодильник минимум на 2 часа. Готовый торт украсить шоколадной/кокосовой стружкой (или, на свое усмотрение).",False
26,Картофельные палочки.,4,1171,28,66.0,117.0,"Картофель очистить, сварить и протереть горячим. Добавить масло, тертую брынзу, муку и соль. Замесить тесто, раскатать в пласт толщиной 5 мм, нарезать палочки длиной примерно 8 см. Палочки смазать взбитыми яичными белками и посыпать семенами тмина. Сложить палочки на противень, смазанный маслом. Выпекать до появления золотистого цвета.",False
27,Грибы под соусом бешамель,6,402,14,29.0,22.0,"Если грибы небольшие, только вымойте их, не разрезайте. В противном случае отделите шляпки от ножек и порежьте все на крупные куски. Положите в кастрюлю с половиной сливочного масла и лимонным соком половины лимона. Готовьте, встряхивая кастрюлю, 6 минут, потом уберите с огня и отставьте. Разогрейте 2 ложки подсолнечного масла в сковородке на среднем огне. Отправьте жариться тонкие ломтики хлеба, по 2 минуты с каждой стороны, чтобы они стали золотисто-коричневыми. Лопаткой выложите их на тарелку, покрытую бумажным полотенцем. Растопите оставшееся сливочное масло с подсолнечным в ковше, вмешайте муку и готовьте, помешивая, 2 минуты. Потом медленно вливайте молоко, постоянно помешивая, и готовьте еще 10-12 минут, пока соус не загустеет. Слегка взбейте яичные желтки и добавьте к ним немного соуса, чтобы они не свернулись, когда вы выльете их в ковш горячим соусом. Посолите, поперчите и уберите с огня. Обсушите грибы и смешайте их с соусом. Подавайте в подогретых порционных тарелках с кусочками хлеба, посыпав мелко порезанной петрушкой.",False
28,Фаршированные мясом помидоры,5,314,14,22.0,14.0,"Отрежьте от помидоров ножки и кончиком ножа сделайте концентрический надрез. Потом чайной ложкой извлеките мякоть. Посолите помидоры внутри и переверните их отверстиями книзу, чтобы избавиться от лишнего сока — это займет час. Когда помидоры будут готовы, смешайте мясной фарш, мелко покрошенный чеснок, мелко порезанную петрушку, слегка взбитое яйцо и хлебные крошки — посолите начинку. Чайной ложкой разложите начинку по помидорам, уплотняя ее пальцами. Налейте масло на дно формы для духовки, установите в ней помидоры в один слой, начинкой кверху. И пеките в разогретой до 180 градусов духовке — 1 час, пока фарш не приготовится, а помидоры не станут мягкими. Подавайте сразу, в этой же посуде.",False
29,Суп-пюре из авокадо и морковки,2,283,4,21.0,24.0,"Миндаль необходимо замочить в холодной воде на 4-6 часов Авокадо очистить от кожуры и косточки. Порезать на крупные куски. Морковь нашинкуйте мелкими кубиками. Снимите с половина лимона цедру и выдавите сок в блендер. Добавьте в блендер замоченный миндаль, имбирь, авокадо и морковь — измельчите ингредиенты до однородного пюре. Добавьте воды или свежевыжатого морковного сока, чтобы получить нужную консистенцию. Добавьте сироп Агавы (можно заменить на капли Стевии или мед). Хорошенько перемешайте. Разлейте по тарелкам и подавайте, посыпав паприкой.",False
30,Суп-пюре из кабачков с плавленым сыром,6,152,8,4.0,23.0,"Нарежьте лук, чеснок и очищенный от семян и кожуры кабачок. Положите в кастрюлю и залейте водой. Когда суп закипит, добавьте нарезанный кубиками плавленный сырок и сухарики. Уменьшите огонь и варите, пока сырок не расплавится. Перелейте суп в блендер и измельчите в пюре.",False
31,Запеченный гусь,4,4140,121,330.0,176.0,"В большую кастрюлю налить столько воды, чтобы туда потом поместился гусь и полностью утонул. Поставить воду на огонь, посолить и отварить в ней пару луковиц, морковину, два стебля сельдерея, несколько веточек тимьяна и розмарина, два лавровых листа, головку чеснока, помидорину, белый уксус или белого вина полбутылки, стеблей петрушки пучок и корешков кинзы десяток, перец горошком горсть и вообще все, что есть пряного в доме. Кипятить отвар минут двадцать, потом положить туда гуся, дождаться, пока вода снова закипит, и варить на медленном огне полчаса. Выключить огонь и держать в воде еще час-два. Потом гуся вынуть, высушить салфетками и намазать смесью оливкового масла, тимьяна, розмарина, чеснока, бальзамического уксуса, соли, перца душистого и лимонной цедры. Завернуть гуся в пленку и поставить на ночь в холодильник. За два часа до еды разогреть духовку до двухсот градусов, нафаршировать гуся смесью клюквы и яблок, обжаренных на сливочном масле с добавлением сахара, соли и специй (корица, имбирь и т. п.). Поставить в печку гуся (сняв пленку) на двадцать минут. Потом уменьшить огонь до 150 градусов и жарить гуся еще час. Потом сделать огонь 220 градусов и жарить еще пятнадцать минут.",False
